,inducted,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,seasons
314,0,2076,7869.0,1366.0,2336.0,449.0,55.0,287.0,1257.0,147.0,87.0,1069.0,1212.0,97.0,39.0,12.0,64.0,223.0,16
315,0,1854,6822.0,902.0,1884.0,349.0,28.0,320.0,1105.0,33.0,43.0,423.0,1069.0,64.0,60.0,8.0,71.0,224.0,18
316,0,1672,5934.0,986.0,1674.0,339.0,24.0,299.0,1016.0,48.0,42.0,970.0,1360.0,45.0,67.0,0.0,68.0,98.0,14
317,0,1216,4223.0,663.0,1229.0,265.0,22.0,85.0,493.0,20.0,18.0,543.0,571.0,17.0,35.0,37.0,48.0,105.0,12
318,0,1503,5319.0,674.0,1527.0,267.0,19.0,260.0,864.0,8.0,19.0,357.0,969.0,43.0,66.0,6.0,45.0,172.0,16
319,0,1730,6119.0,996.0,1731.0,327.0,46.0,79.0,543.0,465.0,168.0,660.0,462.0,14.0,89.0,84.0,44.0,135.0,18
320,0,1217,4188.0,584.0,1131.0,209.0,6.0,208.0,743.0,18.0,5.0,449.0,1019.0,30.0,30.0,3.0,33.0,112.0,16
321,0,1456,5160.0,755.0,1454.0,267.0,37.0,184.0,821.0,119.0,48.0,353.0,842.0,25.0,74.0,2.0,57.0,118.0,15
322,0,2186,8044.0,1084.0,2152.0,428.0,59.0,306.0,1322.0,142.0,52.0,610.0,1239.0,102.0,7.0,1.0,120.0,193.0,25
323,0,1694,5710.0,917.0,1447.0,298.0,29.0,315.0,981.0,74.0,58.0,739.0,1376.0,75.0,78.0,9.0,43.0,99.0,16
324,0,1303,4963.0,739.0,1353.0,190.0,59.0,36.0,368.0,363.0,74.0,308.0,649.0,9.0,28.0,57.0,33.0,53.0,16
325,1,2850,10876.0,1844.0,3060.0,668.0,55.0,291.0,1175.0,414.0,124.0,1160.0,1753.0,68.0,285.0,101.0,81.0,150.0,20
326,1,1912,6911.0,1048.0,2127.0,344.0,8.0,427.0,1335.0,17.0,20.0,759.0,1113.0,146.0,30.0,0.0,45.0,229.0,18
327,0,2986,9847.0,2227.0,2935.0,601.0,77.0,762.0,1996.0,514.0,141.0,2558.0,1539.0,688.0,106.0,4.0,91.0,165.0,22
328,0,2354,8813.0,1475.0,2408.0,379.0,45.0,609.0,1667.0,234.0,107.0,929.0,2306.0,154.0,59.0,17.0,78.0,202.0,19
329,0,2103,8120.0,1528.0,2428.0,383.0,116.0,130.0,781.0,622.0,160.0,945.0,1016.0,43.0,32.0,72.0,65.0,109.0,20
330,0,1377,4530.0,520.0,1236.0,249.0,10.0,112.0,588.0,25.0,24.0,212.0,499.0,15.0,41.0,48.0,34.0,132.0,22
331,0,404,996.0,110.0,235.0,50.0,4.0,48.0,152.0,2.0,6.0,81.0,375.0,6.0,8.0,0.0,6.0,17.0,7
332,0,1951,7082.0,1129.0,2003.0,445.0,35.0,328.0,1070.0,162.0,52.0,744.0,1315.0,80.0,80.0,3.0,53.0,174.0,16
333,0,2024,6957.0,870.0,1982.0,385.0,36.0,214.0,1071.0,54.0,29.0,671.0,1168.0,46.0,41.0,9.0,103.0,182.0,20
334,0,1777,6241.0,1037.0,1666.0,341.0,60.0,305.0,983.0,304.0,115.0,674.0,1614.0,49.0,71.0,14.0,43.0,121.0,17
335,0,1474,5357.0,756.0,1519.0,296.0,34.0,198.0,768.0,94.0,47.0,360.0,925.0,21.0,88.0,5.0,42.0,143.0,17
336,0,2108,7379.0,935.0,1904.0,363.0,55.0,110.0,723.0,231.0,100.0,565.0,1415.0,34.0,45.0,113.0,62.0,218.0,20
337,0,1736,5611.0,874.0,1564.0,343.0,33.0,278.0,987.0,91.0,41.0,817.0,1077.0,84.0,29.0,4.0,55.0,125.0,16
338,0,1288,4554.0,647.0,1316.0,284.0,30.0,107.0,545.0,66.0,37.0,421.0,571.0,34.0,16.0,18.0,46.0,102.0,15
